
 3.14880, -24.33821, 277.69336, 51.25491, 10.78244,  2.20759,  2.45255, -24.33127, 305.57035, 47.69945, -13.61588, -2.43249
 3.23862, -24.42821, 277.69336, 51.14173, 10.76452,  2.20759,  2.13723, -24.15131, 304.86690, 47.58728, -13.59811, -2.40393
 2.92423, -24.51821, 277.51826, 51.11910, 10.78244,  2.20759,  2.27236, -24.19630, 306.09794, 47.69945, -13.68697, -2.39441
 3.10388, -24.42821, 277.69336, 51.16437, 10.74660,  2.22667,  2.31741, -24.28628, 305.57035, 47.65458, -13.70474, -2.40393
 3.19371, -24.47321, 277.86846, 51.20964, 10.71077,  2.21713,  2.22732, -24.28628, 305.74621, 47.67701, -13.58034, -2.36584
 3.05897, -24.51821, 278.04356, 51.14173, 10.83619,  2.19806,  2.40750, -24.33127, 305.74621, 47.76674, -13.59811, -2.39441
 2.96914, -24.42821, 278.04356, 51.25491, 10.76452,  2.18852,  2.54264, -24.24129, 305.39449, 47.76674, -13.56257, -2.42297
 3.14880, -24.47321, 277.69336, 51.18701, 10.85411,  2.17898,  2.36245, -23.92636, 305.57035, 47.69945, -13.58034, -2.42297
 3.19371, -24.29321, 278.21866, 51.18701, 10.74660,  2.18852,  2.45255, -24.15131, 304.51518, 47.69945, -13.61588, -2.42297
 3.05897, -24.47321, 276.99295, 51.32282, 10.87203,  2.23621,  2.04713, -24.10632, 305.39449, 47.76674, -13.59811, -2.39441
 3.23862, -24.47321, 277.86846, 51.18701, 10.83619,  2.19806,  2.49759, -24.24129, 304.86690, 47.65458, -13.49148, -2.39441
 3.14880, -24.06822, 277.69336, 51.18701, 10.81828,  2.20759,  2.27236, -24.28628, 305.74621, 47.67701, -13.58034, -2.42297
 2.87932, -24.38321, 278.39376, 51.14173, 10.78244,  2.19806,  2.22732, -24.15131, 305.74621, 47.63215, -13.61588, -2.39441
 3.05897, -24.29321, 277.69336, 51.05119, 10.72869,  2.20759,  2.04713, -24.24129, 305.57035, 47.76674, -13.56257, -2.44201
 3.19371, -24.29321, 277.86846, 51.07383, 10.74660,  2.20759,  2.36245, -23.92636, 305.74621, 47.67701, -13.58034, -2.39441
 2.87932, -24.33821, 278.39376, 51.11910, 10.76452,  2.18852,  2.22732, -24.10632, 305.04276, 47.65458, -13.61588, -2.44201
 3.19371, -24.78820, 278.39376, 51.16437, 10.80036,  2.18852,  2.09218, -24.33127, 305.21862, 47.65458, -13.58034, -2.38488
 3.28354, -24.47321, 278.21866, 51.20964, 10.74660,  2.18852,  2.27236, -24.06133, 305.39449, 47.76674, -13.50925, -2.38488
 3.10388, -24.38321, 277.51826, 51.27755, 10.80036,  2.25528,  2.22732, -24.10632, 305.57035, 47.69945, -13.59811, -2.43249
 3.14880, -24.33821, 277.51826, 51.18701, 10.76452,  2.18852,  2.04713, -23.92636, 306.09794, 47.78918, -13.58034, -2.38488
 3.28354, -24.51821, 278.56886, 51.23228, 10.74660,  2.15037,  2.04713, -24.42125, 305.57035, 47.74431, -13.54479, -2.37536
 3.14880, -24.56321, 277.34315, 51.23228, 10.72869,  2.17898,  2.27236, -24.01634, 305.74621, 47.74431, -13.58034, -2.38488
 3.10388, -24.38321, 277.34315, 51.11910, 10.74660,  2.23621,  2.31741, -24.15131, 305.39449, 47.74431, -13.56257, -2.40393
 3.10388, -24.42821, 277.34315, 51.23228, 10.76452,  2.20759,  2.36245, -24.06133, 305.74621, 47.65458, -13.49148, -2.40393
 3.28354, -24.29321, 278.04356, 51.16437, 10.69285,  2.16945,  2.13723, -24.10632, 306.27380, 47.69945, -13.54479, -2.37536
 3.28354, -24.42821, 278.04356, 51.23228, 10.74660,  2.20759,  2.27236, -24.19630, 305.57035, 47.74431, -13.61588, -2.40393
 3.14880, -24.38321, 277.34315, 51.16437, 10.83619,  2.17898,  2.40750, -24.10632, 305.74621, 47.72188, -13.54479, -2.39441
 3.19371, -24.38321, 277.34315, 51.14173, 10.71077,  2.21713,  2.13723, -24.37626, 305.21862, 47.74431, -13.47370, -2.39441
 3.19371, -24.51821, 278.56886, 51.20964, 10.83619,  2.19806,  2.31741, -24.15131, 305.21862, 47.65458, -13.56257, -2.39441
 3.19371, -24.38321, 278.21866, 51.11910, 10.80036,  2.18852,  1.91200, -24.06133, 306.09794, 47.76674, -13.61588, -2.37536
