
 4.02975, -19.59873, 248.20255, 42.19507, -3.14173, -0.90668,  2.15296, -18.80621, 289.12828, 58.72316, -0.42975, -0.96359
 3.89501, -19.64373, 248.20255, 42.39880, -3.12381, -0.89715,  2.46828, -18.85120, 288.95242, 58.83533, -0.50083, -0.88742
 3.67044, -19.46374, 248.02745, 42.33089, -3.07006, -0.87807,  2.24306, -18.89619, 289.12828, 58.72316, -0.44752, -0.90646
 3.93992, -19.68873, 248.55275, 42.28562, -3.07006, -0.87807,  2.15296, -18.71623, 288.95242, 58.76803, -0.48306, -0.93503
 4.16449, -19.50874, 249.42825, 42.35353, -3.05214, -0.84946,  2.28810, -18.80621, 288.95242, 58.83533, -0.51861, -0.95407
 3.80518, -19.59873, 248.90295, 42.28562, -2.99838, -0.91622,  2.15296, -18.89619, 289.30414, 58.76803, -0.50083, -0.93503
 3.80518, -19.73373, 248.37765, 42.35353, -3.10589, -0.87807,  2.19801, -18.71623, 289.65587, 58.67830, -0.46529, -0.92550
 3.98483, -19.73373, 248.37765, 42.42143, -3.07006, -0.87807,  2.10792, -18.80621, 290.18345, 58.76803, -0.48306, -0.92550
 3.89501, -19.73373, 249.42825, 42.46671, -3.10589, -0.84946,  2.19801, -18.67125, 289.30414, 58.72316, -0.50083, -0.94455
 3.67044, -19.64373, 248.37765, 42.44407, -2.99838, -0.84946,  2.24306, -18.67125, 289.30414, 58.79046, -0.53638, -0.98263
 3.62553, -19.68873, 248.55275, 42.28562, -3.12381, -0.88761,  2.28810, -18.62626, 288.77656, 58.76803, -0.53638, -0.91598
 3.62553, -19.68873, 248.37765, 42.37616, -3.01630, -0.87807,  2.28810, -18.85120, 289.12828, 58.83533, -0.42975, -0.92550
 3.67044, -19.50874, 248.37765, 42.26298, -3.10589, -0.83993,  2.19801, -18.62626, 289.12828, 58.63343, -0.53638, -0.84934
 3.71535, -20.00372, 248.90295, 42.30825, -3.03422, -0.83039,  2.10792, -18.67125, 288.07311, 58.81289, -0.51861, -0.94455
 3.76027, -19.77873, 249.07805, 42.30825, -2.99838, -0.83039,  2.28810, -18.40131, 288.77656, 58.67830, -0.48306, -0.95407
 3.71535, -19.73373, 248.90295, 42.39880, -2.99838, -0.86854,  2.28810, -18.76122, 288.95242, 58.72316, -0.55415, -0.95407
 3.58061, -19.59873, 249.07805, 42.39880, -3.03422, -0.85900,  2.28810, -18.85120, 289.12828, 58.67830, -0.58970, -0.94455
 3.85009, -19.68873, 248.02745, 42.37616, -2.89088, -0.82085,  2.15296, -18.62626, 289.30414, 58.74560, -0.51861, -0.90646
 3.67044, -19.77873, 248.37765, 42.26298, -2.99838, -0.88761,  2.19801, -18.67125, 288.60069, 58.83533, -0.50083, -0.95407
 3.44587, -19.73373, 248.20255, 42.46671, -2.96255, -0.83993,  2.37819, -18.80621, 288.60069, 58.72316, -0.46529, -0.93503
 3.67044, -19.86873, 249.60335, 42.42143, -2.98047, -0.84946,  2.37819, -18.53628, 288.60069, 58.72316, -0.58970, -1.00167
 3.80518, -19.50874, 248.90295, 42.44407, -2.99838, -0.86854,  2.37819, -18.71623, 288.24897, 58.74560, -0.62524, -0.93503
 3.49079, -19.73373, 248.55275, 42.30825, -2.92671, -0.86854,  2.19801, -18.53628, 288.77656, 58.63343, -0.48306, -0.96359
 3.58061, -19.55374, 248.02745, 42.33089, -3.01630, -0.87807,  2.28810, -18.49129, 288.60069, 58.76803, -0.62524, -0.97311
 3.89501, -19.59873, 248.90295, 42.42143, -2.92671, -0.84946,  2.51333, -18.67125, 288.24897, 58.72316, -0.62524, -0.98263
 3.67044, -19.68873, 249.42825, 42.46671, -2.98047, -0.85900,  2.37819, -18.62626, 288.77656, 58.76803, -0.60747, -0.93503
 3.67044, -19.64373, 249.25315, 42.30825, -2.94463, -0.84946,  2.37819, -18.58127, 288.42483, 58.70073, -0.62524, -0.95407
 3.62553, -19.59873, 248.90295, 42.44407, -2.98047, -0.77317,  2.42324, -18.53628, 288.77656, 58.67830, -0.69633, -0.91598
 3.53570, -19.64373, 249.77846, 42.44407, -2.87296, -0.83993,  2.51333, -18.85120, 288.95242, 58.67830, -0.58970, -0.98263
 3.53570, -19.73373, 249.25315, 42.39880, -2.83712, -0.84946,  2.37819, -18.67125, 288.77656, 58.70073, -0.67856, -0.93503
 3.62553, -19.59873, 248.90295, 42.48934, -2.90879, -0.80178,  2.33315, -18.62626, 289.12828, 58.76803, -0.57192, -0.92550
 3.58061, -19.55374, 248.55275, 42.37616, -2.81920, -0.80178,  2.51333, -18.67125, 289.12828, 58.79046, -0.60747, -0.93503
 3.44587, -19.73373, 250.47886, 42.39880, -2.85504, -0.81132,  2.37819, -18.49129, 289.12828, 58.74560, -0.67856, -0.99215
 3.62553, -19.50874, 249.77846, 42.44407, -2.89088, -0.78271,  2.24306, -18.62626, 288.42483, 58.70073, -0.66078, -0.96359
 3.53570, -19.82373, 249.25315, 42.37616, -2.80128, -0.81132,  2.15296, -18.62626, 289.30414, 58.58857, -0.66078, -0.97311
 3.62553, -19.64373, 248.72785, 42.44407, -2.92671, -0.77317,  2.33315, -18.62626, 288.95242, 58.76803, -0.73187, -0.97311
 3.62553, -19.50874, 249.95356, 42.46671, -2.87296, -0.76363,  2.37819, -18.67125, 288.42483, 58.76803, -0.60747, -0.98263
